"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"U76AV934","webpage","2015","Hérault, Bruno; Gourlet Fleury, Sylvie","Les forêts tropicales humides résisteront elles au changement climatique ?","","","","","https://hal.inrae.fr/hal-02797584","","2015","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1336","","","","","","","",""
"EW3GCVUR","webpage","2020","Vallée, Vincent","Changements à long terme de la structure et de la diversité des peuplements de poissons de fond du plateau continental de Guyane","","","","","https://tel.archives-ouvertes.fr/tel-03200837","","2020-03-12","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","Changement à long terme; Changement climatique; Climatic change; Community ecology; Diversité fonctionnelle; Ecologie des communautés; Fishing pressure; French Guyana; Functional diversity; Guyane; Long term change; Poissons tropicaux; Pression de pêche; Restructuration; Restructuring; Tropical fish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1336","","","","","","","",""
"GW2SI9ZT","webpage","2021","Thiann-Bo, Marie","Justice environnementale et participation : retour sur les principes de justice des populations enquêtées à La Réunion","","","","","https://halshs.archives-ouvertes.fr/halshs-03334064","","2021","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","Justice environnementale et participation","","","","","","","fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1336","","","","","","","",""
"RDM8UFDJ","webpage","2015","Le Duff, Matthieu","Le programme de suivi participatif de l’érosion à Ouvéa.","","","","","https://hal.archives-ouvertes.fr/hal-03065859","","2015","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1336","","","","","","","",""
"USY9LP4Q","webpage","2001","Coudrain, Anne; Amal, Talbi; Emmanuel, Ledoux; Michel, Loubet; Jean, Vachet; Edson, Ramirez","Subsurface transfer of chloride after a lake retreat in the Central Andes","","","","","https://hal.archives-ouvertes.fr/hal-01828650","","2001","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","en","","","","","","","","","","","","ANDES; AQUIFERE; BASSIN VERSANT; BILAN HYDRIQUE; CHANGEMENT CLIMATIQUE; CHLORE; EAU SOUTERRAINE; EVAPORATION; HOLOCENE; LAC SALE; MODELISATION; PALEOCLIMAT; SALINITE; TAUCA LAC; UYUNI LAC SALE; VARIATION SECULAIRE; ZONE SEMIARIDE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1336","","","","","","","",""
"Q3IYD3ZM","book","2020","Sultan, Benjamin; Bossa, A. y; Salack, S.; Sanon, M.","Risques climatiques et agriculture en Afrique de l'Ouest","","","","","https://hal.archives-ouvertes.fr/hal-02547479","","2020","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","AFRIQUE DE L'OUEST; BURKINA FASO; MALI; SENEGAL; ZONE SAHELIENNE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1336","","","","","","","",""
"WIX4BMLM","webpage","2015","Blanfort, Vincent; Stahl, Clement; Klumpp, Katja; Falcimagne, Robert R.; Burban, Benoît; Darsonville, Olivier; Fontaine, Sébastien; Picon-Cochard, Catherine; Boval, Maryline; Ouliac, B.; Héraut, Bruno; Lecomte, P.","Les systèmes herbagers issus de déforestation en Amazonie française (Guyane)","","","","","https://hal.inrae.fr/hal-02799629","","2015","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","carbone; changement climatique; déforestation; Guyane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1336","","","","","","","",""
"KX2RNQQ3","webpage","2017","Doyen, Marie Flore; Laques, Anne-Elisabeth; Gurgel, Helen; Garcia, Lucas","Systèmes agricoles et système d’indicateurs: évaluation de l’impact du changement climatique sur la sécurité alimentaire dans un bassin d’inondation amazonien","","","","","https://hal.archives-ouvertes.fr/hal-01711079","","2017-02-13","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","Systèmes agricoles et système d’indicateurs","","","","","","","fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1336","","","","","","","",""
"EAMLC7HB","webpage","2015","Dézerald, Olivier","Impacts des changements environnementaux sur la biodiversité néotropicale : réponses structurelles et fonctionnelles des réseaux trophiques faunistiques des broméliacées à réservoirs","","","","","https://tel.archives-ouvertes.fr/tel-01405025","","2015-11-12","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","Impacts des changements environnementaux sur la biodiversité néotropicale","","","","","","","fr","","","","","","","","","","","","Bromeliaceae; Broméliacées à réservoirs; Changements environnementaux; Diversité spécifique; Environmental effect; Food web; Forêts néotropicales; Hétérogénéité des habitats; Heterogeneity of habitat; Insecta; Macroinvertébrés; Neotropical Forests; Réseaux trophiques; Specific Diversity; Stabilité; Stability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1336","","","","","","","",""
"6YRYNBD3","webpage","2018","Dumas, Pascal; Le Duff, Matthieu; Allenbach, Michel","Caractérisation des risques d’érosion côtière et de submersion marine dans le cadre du changement climatique sur l’atoll d’Ouvéa (Nouvelle-Calédonie).","","","","","https://hal.archives-ouvertes.fr/hal-03049773","","2018-09-22","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1336","","","","","","","",""
"CPVYS9HK","webpage","2018","Courault, Romain","Les paysages culturels de l'élevage de rennes en Scandinavie face au changement global Une approche multi-scalaire (Laponie suédoise, Sud norvégien)","","","","","https://hal.archives-ouvertes.fr/tel-03637820","","2018-12-05","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","biogéographie; biogeography; changement climatique; climate change; Climatologie; Climatology; fragmentation  paysagère; landscape fragmentation; pastoralisme saami; Rangifer tarandus; saami pastoralism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1337","","","","","","","",""
"3UAUVQU6","webpage","2015","David, Gilbert; Chabanet, Pascale; Lagabrielle, Erwann; Pennober, Gwenaëlle; Quod, Jean-Pascal","Les aires marines protégées face au changement climatique : de la résilience écosystémique à la résilience des territoires","","","","","https://hal.univ-reunion.fr/hal-01368363","","2015","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","Les aires marines protégées face au changement climatique","","","","","","","fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1337","","","","","","","",""
"GRQ2EJEY","webpage","2016","Le Duff, Matthieu; Dumas, Pascal; Cohen, Olivier; Allenbach, Michel","Implication des populations et adaptation au changement climatique : un suivi participatif de l’érosion côtière à Ouvéa (Nouvelle-Calédonie).","","","","","https://hal.archives-ouvertes.fr/hal-03049770","","2016-10-25","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","Implication des populations et adaptation au changement climatique","","","","","","","fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1337","","","","","","","",""
