"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JRPA484N","thesis","2016","Albarelo, Tommy","Estimation de l'Irradiation Solaire sur le Plateau des Guyanes : apport de la Télédétection Satellite","","","","","https://tel.archives-ouvertes.fr/tel-01527108","","2016-12","2022-06-27T17:26:36Z","2022-06-27T17:26:36Z","2022-06-27T17:26:34Z","","","","","","","Estimation de l'Irradiation Solaire sur le Plateau des Guyanes","","","","","","","","","","","","HAL Archives Ouvertes","","Issue: 2016YANE0008","","","","","Énergie Solaire; GOES; Guiana Shield; Heliosat; Plateau des Guyanes; Rayonnement Solaire; Remove sensing; Solar energy; Solar irradiation; Télédétection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1407","","","","","","","",""
"C7SY2HCS","thesis","2017","Gallay, Marjorie","Etude de la dynamique hydro-sédimentaire de fleuves tropicaux par mesures in situ et de télédétection : le cas du Maroni, de l'Oyapock et de l'Orénoque","","","","","https://tel.archives-ouvertes.fr/tel-01831179","","2017-10","2022-06-27T17:26:36Z","2022-06-27T17:26:36Z","2022-06-27T17:26:35Z","","","","","","","Etude de la dynamique hydro-sédimentaire de fleuves tropicaux par mesures in situ et de télédétection","","","","","","","","","","","","HAL Archives Ouvertes","","Issue: 2017YANE0011","","","","","Activités minières; Azote particulaire; Carbon; Carbone; Chlorophyll a; Chlorophylle a; Deforestation; Déforestation; Flux de matières; Hydrologie; Hydrology; Maroni; Material flow; MES; Mine; MODIS; Orénoque; Orinoco; Oyapock; Paramètres Physico-chimiques; Particulate nitrogen; Physicochemical; Remove sensing; Specific solid transport; Télédétection; Transport solide spécifique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1407","","","","","","","",""
"DVTF3I3X","thesis","2016","Goulamoussène, youven","Variabilité de la structure de la canopée en forêt tropicale humide : l'apport de la très haute résolution spatiale en Guyane Française","","","","","https://tel.archives-ouvertes.fr/tel-01527553","","2016-11","2022-06-27T17:26:36Z","2022-06-27T17:26:36Z","2022-06-27T17:26:36Z","","","","","","","Variabilité de la structure de la canopée en forêt tropicale humide","","","","","","","","","","","","HAL Archives Ouvertes","","Issue: 2016YANE0006","","","","","Canopée; Canopy; Forêt tropicale; French Guiana; Guyane Francaise; LiDAR; Pareto; Pierced; Rain forest; Télédétection; Trouée","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1407","","","","","","","",""
"D23WGJV6","journalArticle","2013","Marie-Joseph, Isabelle; Linguet, Laurent; Gobinddass, Marie-Line; Wald, Lucien","On the applicability of the Heliosat-2 method to assess surface solar irradiance in the Intertropical Convergence Zone, French Guiana","International Journal of Remote Sensing","","","10.1080/01431161.2012.756598","","Measurements of daily means of surface solar irradiance made at four ground stations in French Guiana are compared to estimates from the HelioClim-3 database produced by the Heliosat-2 method applied to Meteosat satellite images. The bias ranges from 12 W m−2 (6% of the mean of measurements) to 23 W m−2 (12%), depending on the stations. The root mean square difference ranges between 23 W m−2 (11%) and 35 W m−2 (18%). The correlation coefficient (r) is close to 0.9. Better results are observed during the rainy season than during the dry season. Uncertainties are mainly due to the presence of clouds, large viewing angles of the Meteosat satellite, and limitations of the atmospheric transmittance model under the tropical atmospheric conditions. It is concluded that the Heliosat-2 method provides new knowledge about solar radiation in French Guiana.","2013-04-01","2022-06-27T17:28:09Z","2022-06-27T17:28:09Z","","3012-3027","","","34","","International Journal of Remote Sensing","","","","","","","","","","","","","ResearchGate","","","","","https://www.researchgate.net/publication/235986608_On_the_applicability_of_the_Heliosat-2_method_to_assess_surface_solar_irradiance_in_the_Intertropical_Convergence_Zone_French_Guiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1408","","","","","","","",""
"ARHXP675","webpage","","","Search Publications","","","","","https://www.researchgate.net/search?q=guiana%20AND%20%28%22climate%20change%22%20OR%20%22global%20warning%22%29","Discover the world's scientific knowledge | With 20+ million researchers, 1+ million questions and 130+ million publications, this is where everyone can access science","","2022-06-27T17:29:33Z","2022-06-27T17:29:33Z","2022-06-27T17:29:33Z","","","","","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1409","","","","","","","",""
"4D6R7N82","journalArticle","2014","Albarelo, T.; Marie-Joseph, I.; Primerose, A.; Dolique, F.; Seyler, F.; Linguet, L.","Assessing Surface Solar Irradiance in French Guiana using the Heliosat-II method and GOES images","","","","","https://ui.adsabs.harvard.edu/abs/2014AGUFMGC43A0695A","French Guiana is an overseas department administratively attached to France, located in the northeast of South America between Brazil and Surinam. French Guiana's distance from France (more than 8000 km) leads to varied needs, especially in energy supply. A promising solution for solar mapping of French Guiana lies in the use of satellite images as the few ground radiometric stations (6 stations) are not sufficient to create a solar mapping of French Guiana. In this work, we assess the use of the Heliosat-II method with GOES satellite images in order to develop a dynamic solar map in French Guiana. To estimate Surface Solar Irradiance (SSI) over French Guiana, the original Heliosat-II method developed for operation with METEOSAT images has been modified to be used with GOES satellite images. Modifications include a change in calibration and in the calculation of the cloud albedo. Cloud albedos were retrieved using several strategies proposed by the literature: the maximum monthly value of the apparent albedo values (ρc max), the 95th percentile of the apparent albedo values (ρc Q95) or a pixel-by-pixel formula (ρc Rig). ). By using these three different methods, SSI was calculated over French Guiana. SSI estimated with ρc max as the cloud albedo gives the best results, with an overall MBE lesser than 5% and a Correlation Coefficient greater than 0.9, for a RMSE of 25% . These results show that the use of the Heliosat-II method with GOES images provide accurate SSI estimates in French Guiana.","2014-12-01","2022-06-27T17:29:55Z","2022-06-27T17:29:55Z","2022-06-27T17:29:55Z","GC43A-0695","","","2014","","","","","","","","","","","","","","","NASA ADS","","Conference Name: AGU Fall Meeting Abstracts ADS Bibcode: 2014AGUFMGC43A0695A","","","","","0399 General or miscellaneous; 1610 Atmosphere; 1630 Impacts of global change; 1631 Land/atmosphere interactions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1410","","","","","","","",""
"JFDBQTEU","journalArticle","2015","Linguet, L.; Atif, J.","Estimating Surface Solar Irradiance from GOES Satellite with Particle Filter Model and Joint Probability Distribution","Canadian Journal of Remote Sensing","","0703-8992","10.1080/07038992.2015.1040150","https://doi.org/10.1080/07038992.2015.1040150",". A satellite retrieval of surface solar irradiance (SSI) based on GOES satellite data is presented and validated for the French Guiana with 4 years of in situ measurements from 6 ground stations. We propose a particle filter approach combining GOES satellite observations and in situ data. We propose an original observation function based on a joint probability distribution and taking advantage of the characteristics of both involved types of data. The statistical results are compared with those of existing estimation methods and they are found to be in accordance. The daily bias ranges from −12 W/m2 (−6% of the mean of measurements) to 12 W/m2 (6%), depending on the stations. The daily root mean square difference ranges between 23 W/m2 (10%) and 27 W/m2 (15%). The correlation coefficient is close to 0.92. There is no seasonal climatic effect on the method, the bias and RMSD remain similar for both the rainy and the dry seasons, but better correlation is observed in the rainy season than in the dry season. Uncertainties are mainly due to the presence of specific tropical atmospheric conditions during the dry season.The method has been tested through various tests: cross-validation scheme has highlighted the potential generalization of the model in a temporal dimension; the ability of the method to effectively duplicate anomalies in surface solar irradiance time series has also been tested. The robustness of the results shows the interest of the method compared to other existing estimation methods. Because of its simplicity of implementation, this method opens new prospects in estimating surface solar irradiance. It is concluded that using a particle filter and original observation function method allow a high-quality surface solar irradiance estimation in French Guiana.Résumé. Une méthode d'estimation de l'irradiance solaire de surface (SSI) à partir de données satellites GOES est présentée et validée par comparaison avec 4 années de mesures in situ provenant de 6 stations météorologiques de Guyane Française. Dans cet article, nous proposons une approche par filtre particulaire combinant observations du satellite GOES et données in situ. Nous proposons une fonction d'observation originale basée sur une distribution de probabilité conjointe des 2 types de données. Les résultats statistiques sont conformes à ceux des méthodes existantes. Le biais journalier varie de −16 W/m2 (−6% de la moyenne des mesures) à 12 W/m2 (6%). L'erreur quadratique moyenne (RMSD) est comprise entre 23 W/m2 (10%) et 27 W/m2 (15%). Le coefficient de corrélation est de 0,92. La méthode est peu sensible aux variations climatiques saisonnières, le biais et RMSD restent similaires en saison des pluies comme en saison sèche, mais une meilleure corrélation est observée pendant la saison des pluies. Les incertitudes sont principalement dues à la présence de conditions atmosphériques tropicales spécifiques en saison sèche.La méthode a été soumise à différents tests: un processus de validation croisée a mis en évidence la possible généralisation du modèle dans une dimension temporelle, la capacité du modèle à reproduire efficacement des anomalies dans les séries temporelles d'irradiance solaire de surface a aussi été testée. La robustesse des résultats obtenus montrent l'intérêt du modèle par rapport aux autres méthodes d'estimation existantes. A cause de sa simplicité de mise en oeuvre cette méthode ouvre de nouvelles perspectives en matière d'estimation de l'irradiance solaire au sol. Nous concluons que l'utilisation d'un filtre particulaire combinée à une fonction d'observation originale permet une estimation de haute qualité de l'irradiance solaire au sol en Guyane Française.","2015-03-04","2022-06-27T17:35:31Z","2022-06-27T17:35:31Z","2022-06-27T17:35:31Z","71-85","","2","41","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/07038992.2015.1040150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1411","","","","","","","",""
"Z8DNQX9T","webpage","","","A Bayesian approach for solar resource potential assessment using satellite images - IOPscience","","","","","https://iopscience.iop.org/article/10.1088/1755-1315/17/1/012171","","","2022-06-27T17:35:42Z","2022-06-27T17:35:42Z","2022-06-27T17:35:42Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1412","","","","","","","",""
"WPSN2RMN","journalArticle","2019","Lima, João Victor Figueredo; Gonçalves, Pedro Henrique","A influência do ângulo de inclinação na incidência de radiação solar em painéis fotovoltaicos","","","","","https://bdm.unb.br/handle/10483/24290","Energias renováveis têm sido cada vez mais exploradas. Fontes energéticas provenientes de recursos naturais ganharam destaque no mundo atual por sua sustentabilidade. Elas apresentam um grande potencial e são menos prejudiciais ao meio ambiente do que as derivadas de combustíveis fósseis. Dentre a diversa gama de sistemas energéticos, optou-se em analisar energia solar, em especial, a produção de energia por painéis fotovoltaicos. Existem diversos parâmetros que influenciam na geração de energia, como: a orientação da placa, o ângulo de inclinação com relação ao solo (𝛽), fatores climáticos, temperatura e altitude. Optou-se em analisar a influência do ângulo de inclinação da placa, com o intuito de implementar mais fatores posteriormente. A partir do modelo teórico do cálculo de irradiância para uma superfície inclinada, foram simulados os ângulos ótimos de inclinação que fornecessem os maiores valores de radiação em painéis fotovoltaicos. Posteriormente os resultados foram comparados com valores gerados a partir do software SAM. Incluiu-se nas análises a influência da altitude e do albedo na irradiância total. O enfoque especial foi para a cidade de Brasília-DF. Também foram realizadas simulações para diferentes latitudes, abrangendo todo o território nacional. O sentido de inclinação da placa é influenciado pelo hemisfério em que ela se encontra. Para o hemisfério sul, as placas ficam voltadas para o norte, enquanto que para o hemisfério norte as placas ficam voltadas para o hemisfério sul. É comum a instalação de placas com uma inclinação semelhante à latitude local. Entretanto, por meio de simulações a partir do modelo teórico e dos dados do SAM foram encontradas faixas que otimizaram a interceptação da radiação total. Por conseguinte, foram analisadas as combinações de ângulo de inclinação e orientação do painel fotovoltaico que otimizaram a quantidade de irradiância normal total que atinge a placa, para diferentes cidades ao longo do Brasil, e concluiu-se que fatores de altitude e clima influenciam consideravelmente na radiação incidente no painel. É importante frisar que no modelo teórico foi considerado céu claro isotrópico ao longo de todo ano, uma altitude padrão de 400 m para todo território brasileiro e desconsiderouse a influência da temperatura.","2019-06-29","2022-06-27T17:35:45Z","2022-06-27T17:35:45Z","2022-06-27T17:35:45Z","","","","","","","","","","","","","","Português","","","","","bdm.unb.br","","Accepted: 2020-06-23T23:39:31Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1412","","","","","","","",""
"H49FMBL2","conferencePaper","2018","Lesperance, Wilna; Kamdem, Jules Sadefo; Linguet, Laurent; Albarelo, Tommy","Renewable Energy in French Guiana: Prospects towards a Sustainable Development Scenario","","","","10.1109/ICSGSC.2018.8541267","","Faced with the growing challenges of global warming, the deployment of renewable energy appears to be a necessary condition to achieve sustainable development. Having a crucial role in reducing global greenhouse gas emissions, they can also contribute to ensure universal access to modern energy services. French Guiana as a French overseas territory is heavily dependent on imported fossil fuels. It is a two-tier society where there is a large gap between the coastal and the inland areas concerning energy access. Compared to the coastline, the household electrification rate in the rural areas remains lower. In addition, the expected demographic growth and the aging of production means raise profound questions about how sustainably meet projected energy demand. According to the French Energy Transition for Green Growth Act, the main objective is to develop renewable and clean energy in order to achieve energy self-sufficiency for the entire territory. Due to its favorable location offering a wide range of potential renewable sources, French Guiana is a good candidate for developing efficient and environmentally-friendly renewable generation projects. However, there are still many barriers to overcome in order to facilitate investments in this risky field. This paper aims to make an inventory of the energy situation in French Guiana, identify the challenges restricting the widespread use of renewable energy and propose some recommendations towards a sustainable development.","2018-08","2022-06-27T17:35:49Z","2022-06-27T17:35:49Z","","133-136","","","","","","Renewable Energy in French Guiana","","","","","","","","","","","","IEEE Xplore","","","","","","","Economics; Energy mix; French Guiana; Meteorology; Photovoltaic systems; Production; Renewable energy; Renewable energy sources; Sustainable development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 2nd International Conference on Smart Grid and Smart Cities (ICSGSC)","","","","","","","1413","","","","","","","",""
